account_id,group_id,organization_id,registration_date,is_written_off,is_unlocked,group_name,price_upfront,price_unlock,price_clock_hour,minimum_payment,pymt_id,effective_when,currency,amount,created_when,nominal_loan_term,nominal_loan_term_maturity,cum_amount,%_paid
1.0,1.0,10001.0,2019-12-26 06:00:42.571392000,False,False,Gugun Polar Wireless Product,950.0,8100.0,5.654761905,71.5,2.0,2019-12-26 06:00:42.571392000,KES,950.0,2020-03-12 20:03:47.925114000,1432.4210525712665,2020-02-23 22:25:58.360647600,1900.0,23.456790123456788
2.0,1.0,10001.0,2019-11-06 05:49:39.571392000,False,True,Gugun Polar Wireless Product,950.0,8100.0,5.654761905,71.5,12.0,2019-12-31 00:42:05.571392000,KES,395.0,2020-03-12 20:03:36.247861000,1432.4210525712665,2020-01-04 22:14:55.360647600,4998.0,61.7037037037037
3.0,1.0,10001.0,2019-11-14 14:57:02.571392000,False,False,Gugun Polar Wireless Product,950.0,8100.0,5.654761905,71.5,29.0,2020-01-08 07:02:59.571392000,KES,338.0,2020-03-12 20:03:37.007766000,1432.4210525712665,2020-01-13 07:22:18.360647600,5113.0,63.123456790123456
4.0,1.0,10001.0,2019-12-11 03:18:53.571392000,False,True,Gugun Polar Wireless Product,950.0,8100.0,5.654761905,71.5,46.0,2020-02-02 16:59:13.571392000,KES,530.0,2020-03-12 20:03:38.848432000,1432.4210525712665,2020-02-08 19:44:09.360647600,6364.0,78.5679012345679
5.0,1.0,10001.0,2019-10-31 22:36:23.571392000,False,False,Gugun Polar Wireless Product,950.0,8100.0,5.654761905,71.5,57.0,2019-12-24 17:39:45.571392000,KES,357.0,2020-03-12 20:03:39.952277000,1432.4210525712665,2019-12-30 15:01:39.360647600,4643.0,57.32098765432099
6.0,1.0,10001.0,2019-09-29 13:04:45.571392000,False,True,Gugun Polar Wireless Product,950.0,8100.0,5.654761905,71.5,73.0,2019-11-22 09:21:11.571392000,KES,289.0,2020-03-12 20:03:41.980224000,1432.4210525712665,2019-11-28 05:30:01.360647600,4278.0,52.81481481481482
7.0,1.0,10001.0,2019-11-16 05:55:56.571392000,False,False,Gugun Polar Wireless Product,950.0,8100.0,5.654761905,71.5,96.0,2020-01-01 14:50:27.571392000,KES,416.0,2020-03-12 20:03:48.667612000,1432.4210525712665,2020-01-14 22:21:12.360647600,5706.0,70.44444444444444
9.0,1.0,10001.0,2019-10-10 12:49:10.571392000,False,True,Gugun Polar Wireless Product,950.0,8100.0,5.654761905,71.5,113.0,2019-12-04 05:54:32.571392000,KES,329.0,2020-03-12 20:03:42.794072000,1432.4210525712665,2019-12-09 05:14:26.360647600,4375.0,54.01234567901234
10.0,1.0,10001.0,2019-12-15 03:38:31.571392000,False,True,Gugun Polar Wireless Product,950.0,8100.0,5.654761905,71.5,136.0,2020-02-06 06:16:29.571392000,KES,657.0,2020-03-12 20:03:43.893823000,1432.4210525712665,2020-02-12 20:03:47.360647600,6847.0,84.53086419753086
11.0,1.0,10001.0,2019-09-22 00:50:52.571392000,False,True,Gugun Polar Wireless Product,950.0,8100.0,5.654761905,71.5,148.0,2019-11-14 01:19:17.571392000,KES,299.0,2020-03-12 20:03:47.076302000,1432.4210525712665,2019-11-20 17:16:08.360647600,4115.0,50.80246913580246
